Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=ProjectFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Title~Bill of Materials Fitted For Variant [Default] of Project [16-07349-R5_SAM_L10_XPro.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~204|ReportField=ReportTime~2:32:51 PM|ReportField=ReportDate~7/6/2018|ReportField=ReportDateTime~7/6/2018 2:32:51 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default|ReportField=ProjectBoardNumber~07349_L10|ReportField=ProjectDrawnBy~Roger Hathaway|ReportField=ProjectEngineer~Roger Hathaway|ReportField=ProjectPartNumber~07-07349_L10|ReportField=ProjectRevisionART~5|ReportField=ProjectRevisionASSY~5|ReportField=ProjectRevisionFAB~5|ReportField=ProjectRevisionSCH~5|ReportField=ProjectTitle~SAM L10 Xplained Pro|ReportField=Address1~2355 West Chandler Blvd.|ReportField=Address2~Chandler, AZ  85224|ReportField=Address3~|ReportField=Address4~USA|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Microchip Technology Inc.|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~7/6/2018|ReportField=CurrentTime~2:31:15 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentName~SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~6/25/2018|ReportField=Organization~Microchip Technology|ReportField=ProjectName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTitle~Top Level Block Diagram|ReportField=SheetTotal~9|ReportField=Time~Time|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=DataSourceFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
44|Fitted|PCB1|1|SAM L10 Xplained Pro PCB|||SAM L10 Xplained Pro PCB, 4 layer, 60mm x 100mm
45|Fitted|PCBADOC1|1|A09-2769 PCBA Files|||SAM L10 Xplained Pro PCBA documentation
46|Fitted|Q100A, Q100B, Q101A, Q101B|4|RW1C025ZP|ROHM|RW1C025ZP|Pch -20V -2.5A Small Signal MOSFET
47|Fitted|Q200|1|2N7002DW|Fairchild|2N7002DW|Dual N-Channel MOSFET, 60V, 115mA cont,RDS(ON) < 7.5 Ohm @50mA@5V, SOT-363
48|Fitted|Q500, Q601|2|BSS138N|Infineon|BSS138N|Low leakage N-Channel MOSFET. 60V, 0.23A continuous, 0.92A Peak. RDS(ON) = 3.5Ohm@VGS=4.5V, VGS(th)<1.4V
49|Fitted|Q501|1|IRLML6402|International Rectifier|IRLML6402PBF|P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V
50|Fitted|Q600|1|PMV48XP|NXP|PMV48XP,215|P-Channel Digital FET. -30V, -3.5A continuous, -14A Peak. RDS(ON)=48mOhm@VGS=-4.5V, RDS(ON)=71mOhm@VGS=-2.5V. VGS(th)<1.25V
51|Fitted|Q602, Q603, Q604, Q605|4|BSH201|NXP|BSH201,215|P-Channel Digital FET. -60V, -0.3A continuous, -1.2A Peak. RDS(ON)=2.5@VGS=-10V, RDS(ON)=<5 ohm @VGS=-2.5V. VGS(th)<1.9V
52|Fitted|R100, R200, R233, R235|4|1M|YAGEO CORP|RC0402FR-071ML|Thick film resistror, SMD 0402, 1/16W, 1%
53|Fitted|R101, R102, R500, R601, R602, R603, R604, R605|8|100k|ASJ|CR10-1003-FK|Thick film resistor, SMD 0402, 1/16W, 1%
54|Fitted|R103, R104, R201, R202, R203, R204, R205, R206, R207, R208, R224, R225, R505|13|0R|(n/a)|RMCF0402ZT0R00|RES 0.0 OHM 1/16W 0402 SMD
55|Fitted|R105, R106, R608|3|47k|KOA|RK73H1ETTP4702F|Thick film resistor, SMD 0402, 1/16W, 1%
56|Fitted|R209, R215, R216, R222, R226, R227, R228, R230, R231, R232, R300, R302, R303, R304, R305, R313, R314, R702, R803|19|0R|(n/a)|RMCF0402ZT0R00|RES 0.0 OHM 1/16W 0402 SMD
57|Fitted|R210, R211, R212, R213, R214, R229, R701|7|330R|ASJ|CR10-3300-FK|Thick film resistor, SMD 0402, 1/16W, 1%
58|Fitted|R217, R218|2|1k|ASJ|CR10-1001-FK|Thick film resistor, SMD 0402, 1/16W, 1%
59|Fitted|R219, R220, R223, R606, R704|5|39R|ASJ|CR10-39R0-FK|Thick film resistor, SMD 0402, 1/16W, 1%
60|Fitted|R221|1|6.81k|vishay|CRCW04026K81FKED|Thick film resistor, SMD 0402, 1/16W, 1%
61|Fitted|R234, R236, R703|3|330R|ASJ|CR10-3300-FK|Thick film resistor, SMD 0402, 1/16W, 1%
62|Fitted|R329, R330|2|4.7k|(n/a)|CR10-4701-FK|Thick film resistor, SMD 0402, 1/16W, 5%
63|Fitted|R400|1|2k|YAGEO CORP|RC0402FR-072KL|Thick film resistor, SMD 0402, 1/16W, 1%
64|Fitted|R401|1|39k|ASJ|CR10-3902-FK|Thick film resistor, SMD 0402, 1/16W, 1%
